,Mobile_Name,Color,Brand,ROM,MRP_Price,Selling_Price,Discount
450,Apple IPHONE 14 PRO MAX,Speed Black,Apple,128,"79,900",79885,36
451,SAMSUNG Galaxy A55 5G,Speed Black,Apple,256,"1,09,000",108985,20
452,Apple Iphone 15,Red,Apple,128,"79,900",79885,10
453,Apple Iphone 15,Purple,Apple,128,"89,900",89885,11
454,Apple Iphone 15,Starlight,Apple,256,"1,09,000",108985,25
455,Apple Iphone 15,Purple,Apple,128,"89,900",89885,11
456,Apple Iphone 15,Red,Apple,512,"89,900",89885,10
457,Apple Iphone 15,Midnight,Apple,128,"1,09,000",108985,6
458,Apple Iphone 15,Red,Apple,256,"1,09,000",108985,8
459,Apple Iphone 15,Blue,Apple,512,"1,09,000",108985,17
460,Apple Iphone 15,Midnight,Apple,256,"89,900",89885,17
461,Apple Iphone 15,Dark Chrome,Apple,256,"79,900",79885,10
462,Apple Iphone 15,Cyber Green,Apple,512,"11,499",11484,16
463,Apple Iphone 15,Cyber Green,Apple,512,"15,999",15984,11
464,Apple Iphone 15,Titanium Blue,Apple,512,"17,999",17984,11
465,Apple Iphone 15,Titanium Blue,Apple,256,"89,900",89885,11
466,Apple 15,Sparkle Purple,Apple,128,"99,900",99885,16
467,SAMSUNG Galaxy A06,Starry Black,Apple,64,"89,900",89885,9
468,realme Narzo 50,Nebula Noir,Apple,64,"89,900",89885,23
469,realme Narzo 50,Onyx Black,SAMSUNG,128,"89,900",89885,12
470,Apple IPhone 14,Blue,Apple,256,"99,900",99885,10
471,Apple IPhone 14,Golden,Apple,512,"99,900",99885,26
472,Apple IPhone 14,Beach Gold,Apple,256,"99,900",99885,25
473,Apple IPhone 14,Titanium,Apple,256,"89,900",89885,18
474,Apple IPhone 14,Ultramarine,Apple,128,"24,999",24984,8
475,Apple IPhone 14,stellar blue/ steller blue,Apple,512,"14,999",12601,22
476,Apple IPhone 14,Black Diamond,Apple,512,"13,999",11602,7
477,Apple IPhone 14,Hawaiian Blue,Apple,256,"14,999",12601,13
478,Apple IPhone 14,Midnight Blue,Apple,256,"13,999",11602,16
479,OnePlus Nord CE4,Stargaze Black,Apple,128,"10,999",8784,20
480,IQOO Z10 Lite 5G,Orchid Pink,Apple,128,"10,999",8784,24
481,IQOO Z10 Lite 5G,stellar gold /steller gold,Apple,128,"44,999",37984,17
482,IQOO Z10 Lite 5G,Blazing Black,Apple,128,"14,999",11875,20
483,IQOO Z10 Lite 5G,Midnight Blue,Apple,128,"9,999",5785,22
484,REDMI A4,Speed Blue,Apple,64,"9,999",5685,30
485,Redmi A4,Speed Blue,SAMSUNG,64,"10,999",8284,3
486,ONEPLUS 13R 5G,Gold,realme,256,"17,499",14604,26
487,Realme Narzo 80 Lite 5G,Cyber Green,realme,128,"17,499",14604,11
488,ringme BOLD P70,Titanium Blue,Apple,128,"10,999",8617,19
489,ringme BOLD P70,Starry Black,Apple,128,"17,999",12984,16
490,realme Narzo 80 Lite 4G,Astral Trail,Apple,128,"17,999",13180,30
491,IQOO Z10X 5G,Onyx Black,Apple,128,"18,999",9620,48
492,IQOO Z10X 5G,Crystal Purple,Apple,128,"14,999",10824,20
493,Lava Shark 5G,Crystal Purple,Apple,64,"17,999",13180,27
494,redmi 13 5G,Beach Gold,Apple,128,"1,799",934,24
495,redmi 13 5G,Obsidian Black,Apple,128,"10,999",9085,26
496,HMD Crest 5G,Obsidian Black,Apple,128,"15,499",11175,27
497,Redmi 14C 5G,Ultramarine,OnePlus,128,"1,899",924,20
498,REDMI 13 5G,Titanium,,128,"18,999",10484,20
499,,Ultramarine,,,"2,099",1253,16
500,Lava Shark 5G,Titanium,IQOO,64,"2,099",1282,16
501,SAMSUNG M06 5G,Sage Green,IQOO,128,"17,999",17984,15
502,,Golden Mist,IQOO,,"15,999",15984,27
503,hmd Crest 5G,Midnight Mist,IQOO,128,"16,999",16975,26
504,,Stardust Purple,REDMI,,"16,999",16975,17
505,,Black Diamond,Redmi,,"11,999",11984,51
506,realme Narzo 50,Orchid Pink,ONEPLUS,128,"44,999",44975,21
507,realme Narzo 50,Sage Green,Realme,64,"13,999",13984,15
508,SIA PRO 5+ Golden smallest Phone,Blazing Black,ringme,64,"14,999",11875,17
509,IQOO Z10 Lite 5G,Starlight Blue,ringme,256,"13,999",13975,15
510,IQOO Z10 Lite 5G,Starlight Blue,realme,256,"8,999",8984,17
511,REDMI A4,Stargaze Black,IQOO,128,"8,999",8984,49
512,oneplus 13R 5g,Stardust Purple,IQOO,256,"10,999",10984,42
513,Realme Narzo 80 Lite 5G,Stardust Purple,Lava,128,"20,499",20475,43
514,Realme Narzo 80 Lite 5G,Raging Blue,redmi,128,"18,999",18975,40
515,Realme Narzo 80 Lite 5G,Space Gray,redmi,128,"18,999",18975,38
516,realme Narzo 80 Lite 4G,MoonKnight Titanium,HMD,64,"20,499",20475,44
